"AU","TI","SO","PY","AB","DE","ID"
"Benoit Hayman; Sonia Pagliusi","Emerging vaccine manufacturers are innovating for the next decade.","Vaccine: X",2024,"The Developing Countries Vaccine Manufacturers Network (DCVMN) is a public health-driven alliance consisting of 43 vaccine manufacturers from 14 countries and territories, operating under the mandate to protect all people against known and emerging infectious diseases, by improving the availability of high-quality vaccines globally. The Network provides a platform for organizations to come together regularly to share technical information, best practices and future prospects. DCVMN members are playing an increasingly important role in public health supplying over 50% of the doses of vaccines procured by UNICEF globally. To evaluate the progress made by Network's members, a survey consisting of 9 questions covering three important components of the manufacturers in the network was created, focusing on company dedicated human resources, vaccine production, and research and development efforts. Results show that more vaccines from more manufacturers are achieving WHO Pre-qualification, with areas of focus including the contributions to a Polio-free world, ending cholera, and tackling re-emerging diseases, such as measles. An increase by 50% of number of manufacturing companies holding WHO prequalified vaccines was observed from 2013 to 2019, strengthening open competitiveness for global vaccines supply. Notably, Network members have 181 vaccine projects in the research and development pipeline, highlighting novel vaccines against mosquito-borne diseases, such as dengue, chikungunya and Zika, novel human papillomavirus and pneumococcal conjugated vaccines. This report summarizes the progressive efforts of DCVMN members to contribute to reducing the burden of infectious diseases globally and details their commitment to vaccine innovation, particularly in the past five years, in the context of how vaccine innovations of today will shape the fight against infectious diseases tomorrow.","Infectious diseases; Polio eradication; Vaccination; Vaccine manufacture; Vaccine’s supply","10.1016/j.jvacx.2020.100066"
"Maria Cavaller Bellaubi; Martin Harvey Allchurch; Clement Lagalice; Agnes Saint-Raymond","The European Medicines Agency facilitates access to medicines in low- and middle-income countries.","Expert review of clinical pharmacology",2021,"","Europe; Global health; WHO; drug; marketing authorization; patient access; sustainable Development Goals","10.1080/17512433.2020.1724782"
"Hanif Shaikh; Julia Lynch; Jerome Kim; Jean-Louis Excler","Current and future cholera vaccines.","Vaccine",2021,"Cholera remains a major global public health problem that is primarily linked to insufficient access to safe water and proper sanitation. Oral Cholera Vaccine (OCV) has been recommended as an additional public health tool along with WASH in cholera endemic countries and in areas at risk for outbreaks. The new generation OCV is safe and offers good protection in older children and adults while limited protection in younger children less than five years of age has been observed. The combination of direct vaccine protection and vaccine herd immunity effects makes OCV highly cost-effective and, therefore, attractive for use in developing countries. Additionally, in recent studies OCV was safe in pregnant women, supporting its use in pregnant women in cholera endemic countries. However, knowledge need to be developed for current vaccines for their prolonged duration of protection and vaccines need improvements for better immune response in younger children. A single dose vaccination regimen would be more cost-effective and easier to deliver. Recent approaches have focused on designing genetically attenuated cholera strains for use in single-dose cholera vaccines. The global demand for OCV has been boosted by the WHO recommendation to use OCV and is driven largely by epidemics and outbreaks and has been increasing due to the availability of cheaper easy-to-use vaccines, feasibility of mass OCV vaccination campaigns, demonstration of protection to underserved population in precarious situations, and vaccine costs being borne by Gavi (Vaccine Alliance). For rapid access in emergency and equitable distribution of OCV in cholera-endemic low-income countries, a global OCV stockpile was established in 2013 with support from the Global Alliance for Vaccines and Immunization. The three WHO-prequalified vaccines are Dukoral®, Shanchol™, Euvichol® (and Euvichol® Plus presentation), the latter two being included in the stockpile.","Cholera; Oral cholera vaccine; Parenteral cholera vaccine; Prevention; Stockpile; Vaccine; WHO prequalification","10.1016/j.vaccine.2019.12.011"
"Elena Grabski; Eberhard Hildt; Ralf Wagner","[Licensing procedures for human vaccines in Germany and Europe and the WHO prequalification program].","Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",2020,"Vaccinations are amongst the most important and powerful preventive measures modern medicine has to offer. By their nature, vaccines represent a very complex class of biological medicines. Licensure of novel vaccines is a process conducted on the basis of a comprehensive set of well-defined legal and procedural requirements. The key aim of the regulatory evaluation of vaccines is to confirm their pharmaceutical quality, safety, and efficacy in order to conclude on the positive benefit/risk ratio that is an absolute prerequisite for granting a license.In Europe there exist four types of licensing procedures for human vaccines (national, MRP, DCP, and centralized) depending on whether the vaccine is intended to be marketed nationally, in several, or all EU countries. Modern innovative vaccines are mostly licensed via the centralized EU procedure, which also offers a certain degree of procedural flexibility for specific vaccines under defined conditions. However, the basic regulatory requirements are the same for all types of licensing procedures. In order for a license to be granted, a vaccine has to fulfill all relevant regulatory requirements as regards pharmaceutical quality, including each manufacturing and control step as well as preclinical and clinical characterization. Most importantly, clinical trials in humans conducted prelicensure to determine vaccine safety and efficacy play a key role during the licensing procedure and for decision making.The WHO prequalification procedure was implemented to enable worldwide access to medicines of approved quality. Its prime aim is to establish and ensure appropriate universally recognized regulatory standards for vaccines to be used throughout the entire world.","Benefit/risk ratio; Efficacy; Licensure procedures; Safety; Vaccination","10.1007/s00103-019-03059-w"
"David Beran; Zafar Mirza; Jicui Dong","Access to insulin: applying the concept of security of supply to medicines.","Bulletin of the World Health Organization",2020,"Security of supply of medicines is fundamental to ensure health for all. Furthermore, improving access to medicines is included in sustainable development goal 3. However, the concept of security of supply has mostly been applied to food, water and energy. Diversity of supply, vulnerability to disruption, expenditure, infrastructure, stability of exporting countries, ownership of production, price stability, access and equity, affordability, intellectual property, safety and reliability of supply, and countries' capacity to adapt to market changes are all elements of security of supply. Based on these elements, we assessed security of supply for insulin, since access to insulin is a global problem. We found that three multinational companies, in Denmark, France and Germany, control 99% of the value of the global insulin market. Prices and affordability of insulin and access to it vary considerably between countries. Some countries are vulnerable to insulin shortage because they import insulin from only one source. Many countries spend large amounts of money on insulin and costs are increasing. Some countries lack an adequate infrastructure for procurement, supply chain management and distribution of insulin. Applying the security of supply concept to insulin showed that diversification of suppliers needs to be fostered. Global health actors should adopt a security of supply approach to identify medicines that are susceptible to supply issues and address this concern by strategic promotion of local production, strengthening regulatory harmonization, and adding local products to the World Health Organization's programme on prequalification of medicines. La sécurité de l'approvisionnement en médicaments est fondamentale pour garantir une bonne santé pour tous. De plus, l'amélioration de l'accès aux médicaments figure dans l'Objectif de développement durable n°3. Or, le concept de sécurité d'approvisionnement a jusqu'à présent été principalement appliqué aux aliments, aux boissons et à l'énergie. La diversité d'approvisionnement, la vulnérabilité face aux perturbations de la chaîne d'approvisionnement, les infrastructures, la stabilité des pays exportateurs, la propriété des moyens de production, la stabilité des prix, l'accès et l'équité, l'accessibilité des prix, la propriété intellectuelle, la sûreté et la fiabilité de l'approvisionnement ainsi que la capacité des pays à s'adapter aux évolutions du marché sont autant de notions inhérentes à la sécurité d'approvisionnement. À partir de ces éléments, nous avons évalué la sécurité d'approvisionnement pour l'insuline, étant donné que l'accès à l'insuline constitue un enjeu mondial. Nous avons constaté que trois multinationales (au Danemark, en France et en Allemagne) contrôlent 99% de la valeur du marché mondial de l'insuline. Les prix, leur accessibilité ainsi que l'accès à l'insuline varient considérablement d'un pays à un autre. Certains pays sont vulnérables face aux pénuries d'insuline, car ils n'importent l'insuline qu'auprès d'une seule source. De nombreux pays dépensent énormément d'argent pour l'insuline, et les coûts sont en augmentation. Certains pays n'ont pas d'infrastructures appropriées pour les achats, la gestion de la chaîne d'approvisionnement et la distribution de l'insuline. L'application du concept de sécurité d'approvisionnement à l'insuline nous a montré que la diversification des fournisseurs doit être encouragée. Les acteurs mondiaux de la santé devraient adopter une approche de sécurité d'approvisionnement pour identifier les médicaments susceptibles de connaître des problèmes d'approvisionnement et répondre à cet enjeu par la promotion stratégique d'une production locale, le renforcement de l'harmonisation réglementaire et l'ajout de produits locaux dans le programme de l'Organisation mondiale de la Santé sur la préqualification des médicaments. La seguridad en el suministro de medicamentos es fundamental para garantizar la salud de todos. Además, la mejora del acceso a los medicamentos está incluida en el objetivo de desarrollo sostenible 3. Sin embargo, el concepto de seguridad en el suministro se ha aplicado principalmente a los alimentos, el agua y la energía. La diversidad del suministro, la vulnerabilidad a las perturbaciones, el gasto, la infraestructura, la estabilidad de los países exportadores, la propiedad de la producción, la estabilidad de los precios, el acceso y la equidad, la asequibilidad, la propiedad intelectual, la seguridad y la fiabilidad del suministro y la capacidad de los países para adaptarse a los cambios del mercado son todos elementos que se incluyen en la seguridad en el suministro. Con base en estos elementos, se ha evaluado la seguridad del suministro de insulina, ya que el acceso a esta es un problema mundial. Se ha descubierto que tres empresas multinacionales, en Dinamarca, Francia y Alemania, controlan el 99 % del valor de mercado mundial de insulina. Los precios y la asequibilidad de la insulina y el acceso a ella varían considerablemente de un país a otro. Algunos países son vulnerables a la escasez de insulina porque la importan de una sola fuente. Muchos países gastan grandes cantidades de dinero en insulina y los costes aumentan. Algunos países carecen de una infraestructura adecuada para la adquisición, la gestión de la cadena de suministro y la distribución de insulina. La aplicación del concepto de seguridad en el suministro a la insulina demostró que es necesario fomentar la diversificación de los proveedores. Los agentes de la salud mundial deberían adoptar un enfoque de seguridad en el suministro para identificar los medicamentos que son susceptibles de problemas de suministro y abordar esta preocupación mediante la promoción estratégica de la producción local, el fortalecimiento de la armonización de los reglamentos y la incorporación de los productos locales al programa de la Organización Mundial de la Salud sobre la precalificación de los medicamentos. يعد تأمين الإمداد بالأدوية أمرًا أساسيًا لضمان الصحة للجميع. علاوة على ذلك، فإن تحسين الحصول على الأدوية يتضمن الهدف 3 من أهداف التنمية المستدامة. ومع ذلك، فقد تم تطبيق مفهوم تأمين الإمداد في الغالب على الغذاء والماء والطاقة. تنوع الإمداد، وإمكانية التعرض للانقطاع، والإنفاق، والبنية التحتية، واستقرار البلدان المصدرة، وملكية الإنتاج، واستقرار الأسعار، وإمكانية الحصول عليه بإنصاف، والقدرة على تحمل التكاليف، والملكية الفكرية، وسلامة وموثوقية الإمداد، وقدرة البلدان على التكيف مع تغيرات السوق، تمثل جميعها عناصر لأمن الإمداد. واستنادًا إلى هذه العناصر، قمنا بتقييم أمان الإمداد بالأنسولين، نظرًا لأن الحصول عليه يمثل مشكلة عالمية. وجدنا أن ثلاث شركات متعددة الجنسيات في الدنمرك وفرنسا وألمانيا، تسيطر على 99٪ من قيمة سوق الأنسولين العالمي. تختلف أسعار الأنسولين، والقدرة على تحملها، وإمكانية الوصول إليها، اختلافًا كبيرًا بين البلدان. بعض البلدان معرضة لنقص الأنسولين نظراً لأنها تستورد الأنسولين من مصدر واحد فقط. تنفق العديد من البلدان مبالغ طائلة على الأنسولين، ولا زالت التكاليف في صعود. تفتقر بعض البلدان إلى بنية تحتية مناسبة للمشتريات ولإدارة سلسلة التوريد وتوزيع الأنسولين. إن تطبيق مفهوم أمان الإمداد على الأنسولين أظهر أن تنويع الموردين يحتاج إلى رعاية. ينبغي أن تعتمد الجهات الصحية العالمية الفاعلة نهجاً تأمين الإمداد، لتحديد الأدوية المعرضة لقضايا الإمداد، ومعالجة هذا الشأن من خلال الترويج الاستراتيجي للإنتاج المحلي، وتعزيز التنسيق التنظيمي، وإضافة منتجات محلية إلى برنامج منظمة الصحة العالمية الخاص بالتأهيل المسبق للأدوية. 药品供应安全是确保人人享有健康的基础。此外，增加获取药物的机会已纳入可持续发展目标 3。然而，供应安全概念主要应用于食品、水和能源。供应的多样性、脆弱性、支出、基础设施、出口国稳定性、产品所有权、价格稳定性、获取与公平、可负担性、知识产权、供应安全性和可靠性以及各国适应市场变化的能力，都是供应安全的要素。基于这些要素，我们对胰岛素供应的安全性进行了评估，因为对胰岛素的获取是一个全球问题。结果表明，丹麦、法国和德国的三家跨国公司控制着全球 99% 的胰岛素市场份额。胰岛素的价格、可负担性和可得性在各国之间有显著差异。某些国家胰岛素进口渠道只有一个，因此很容易面临胰岛素短缺。诸多国家在胰岛素上投入了大量资金，且成本在不断增加。某些国家缺乏胰岛素采购、供应链管理和分销所需的基础设施。将供应安全概念应用于胰岛素，表明需要促进供应商的多样化。全球卫生行动者应采取供应安全的方法来确定易受供应问题影响的药物，并通过战略性提升本地产量、加强监管协调，以及将本地产品纳入世卫组织药品资格预审项目来解决这一问题。. Надежность поставок лекарственных средств — основа обеспечения всеобщего здравоохранения. Кроме того, улучшение доступа к лекарственным средствам включено в цель номер 3 программы устойчивого развития. Однако концепция надежности поставок в основном применялась к пищевым продуктам, воде и энергии. Разнообразие источников поставок, уязвимость к сбоям поставок, затраты, инфраструктура, стабильность в странах-экспортерах, владение производством, стабильность цен, доступность и равные возможности доступа, приемлемая цена, вопросы интеллектуальной собственности, безопасность и надежность поставок и способность страны адаптироваться к изменениям на рынке — все это элементы системы обеспечения надежности поставок. На основании этих элементов авторы оценивали надежность поставок инсулина, так как доступность инсулина является глобальной проблемой. Было обнаружено, что три транснациональные компании (из Германии, Дании и Франции) совместно контролируют 99% мирового рынка производства инсулина. Цены, доступность инсулина и возможность его использования значительно различаются в разных странах. Некоторые страны весьма чувствительны к дефициту инсулина, поскольку они импортируют инсулин только из одного источника. Многие страны тратят огромные суммы денег на приобретение инсулина, и затраты на него постоянно растут. В некоторых странах отсутствует необходимая инфраструктура для закупок, управления цепочкой поставок и распределения инсулина. Применение концепции надежности поставок к инсулину показало, что необходимо способствовать диверсификации поставщиков. Организации, действующие в области мирового здравоохранения, должны внедрить у себя подход обеспечения надежности поставок, чтобы выявлять лекарственные препараты, подверженные перебоям в поставках, и решать соответствующие проблемы посредством стратегического развития местного производства, укрепления процессов согласования режимов регулирования, а также введения местной лекарственной продукции в программу Всемирной организации здравоохранения по предварительной квалификации лекарственных средств.","","10.2471/BLT.18.217612"
"Sonia Pagliusi; Yanchun Che; Shaozhong Dong","The art of partnerships for vaccines.","Vaccine",2020,"The Developing Countries Vaccine Manufacturers Network (DCVMN) convened vaccine manufacturing experts and leaders from local and global public health organizations for its 19th Annual General Meeting. Lectures and panel discussions centered on international cooperation for better access to vaccines, and partnerships in areas ranging from vaccine research and process development, to clinical studies, regulatory, supply chain and emergency preparedness and response. Global vaccine market trends and changes that will impact vaccine financing and procurement methods were discussed as well as capital sources, including funding, for the development of new or improved vaccines. DCVMN members presented their progress in developing novel Hexavalent, Meningitis, Pneumococcal Conjugate Vaccine, Shigella, Mumps, Rotavirus, Yellow Fever, Polio, Hepatitis E and Dengue vaccines, and a novel monoclonal antibody cocktail for post-bite prophylaxis against rabies infections. Access to and availability of vaccines is enhanced through sharing of best practices for vaccine quality control, reducing redundant testing and promoting development of harmonized common standards. Eligible stakeholders were encouraged to join the WHO-National Control Laboratory Network for Biologicals which serves as a platform for collaboration and technical exchange in this area. Increasing regulatory convergence at the regional and global levels through mechanisms such as joint dossier review and the WHO Collaborative Registration Procedure can help to accelerate vaccine access globally. Additionally, four proposals for streamlining procedures and alignment of dossiers were discussed. Successful partnerships between a broad range of stakeholders, including international organizations, manufacturers, academic research institutes and regulators have provided support for, and in some cases accelerated, vaccine innovation, clinical trials and registration, WHO prequalification, vaccine introduction and access. Strong partnerships, based on experience and trust, help leverage opportunities and are critically important to advancing the shared goal of providing quality vaccines for all people.","Developing countries; Immunization; Public-private partnerships; Technology innovation; Vaccine market trends","10.1016/j.vaccine.2019.07.088"
"Melissa Malhame; Edward Baker; Gian Gandhi; Andrew Jones; Philipp Kalpaxis; Robyn Iqbal; Yalda Momeni; Aurelia Nguyen","Shaping markets to benefit global health - A 15-year history and lessons learned from the pentavalent vaccine market.","Vaccine: X",2020,"Market shaping for health products used in lower-income countries strives to benefit public health. As a funder of vaccines, Gavi, The Vaccine Alliance (Gavi) has goals for its market shaping efforts, achieved through a strategy developed and implemented by the Gavi Secretariat, UNICEF, the World Health Organization (WHO) and the Bill & Melinda Gates Foundation (BMGF). A case-study of Gavi's fifteen-year engagement with a vaccine against diphtheria, tetanus, pertussis, hepatitis B and","B, billion; BMGF, The Bill & Melinda Gates Foundation; DALY, disability-adjusted life-years; DTP, diphtheria tetanus pertussis vaccine; DTwP, diphtheria tetanus whole-cell pertussis vaccine; Gavi, Gavi The Vaccine Alliance; Global health; HMF, Healthy Market Framework; HepB, hepatitis B vaccine; Hib, haemophilus influenzae type b vaccine; IPV, inactivated polio virus; Immunisation; M, million; MIC, middle-income country; Market dynamics; Market shaping; NRA, National Regulatory Authority; PAHO, Pan American Health Organization; PRG, Procurement Reference Group; Pentavalent; Roadmap, Supply and Procurement Roadmap; SPS, Supply and Procurement Strategy; US$, United States Dollar; Vaccines; WAP, weighted average price; WHO, World Health Organization","10.1016/j.jvacx.2019.100033"
"Ivana Škrnjug; Sabina Uzeirbegović; Maja Lovrek Romčević; Siniša Tomić; Heidi Meyer; Christoph Conrad","Mutual recognition in the European system: A blueprint for increasing access to medicines?","Regulatory toxicology and pharmacology : RTP",2020,"The European regulatory system for approval of medicinal products is globally recognised as a unique platform for regulatory work-sharing and mutual recognition. As such, it potentially serves as a role model for regulatory capacity building worldwide. While focusing on mutual recognition and decentralised procedures, this paper illustrates key success factors and structures allowing for the reliance-based authorisation of medicines in the European Economic Area from the perspective of a national regulatory authority (NRA). This paper presents major challenges in fulfilling the requirements for joining the European Medicines Regulatory Network (EMRN) and the strategies regarding how those challenges could be successfully addressed based on the example of the Agency for Medicinal Products and Medical Devices of Croatia, the most recent NRA in the EMRN. It also discusses the hallmarks of successful implementation of the European system of reliance as a blueprint for increasing access to safe and efficacious medicines from the perspective of a NRA.","Access to medicines; Mutual recognition; Regulatory harmonisation; Reliance; Work-sharing","10.1016/j.yrtph.2019.05.004"
"Chad K Porter; Ramiro L Gutierrez; Karen L Kotloff","Clinical endpoints for efficacy studies.","Vaccine",2020,"Well-established, validated and clinically meaningful primary and secondary endpoints are critical in advancing vaccines through proof of principal studies, licensure and pre-qualification. To that end, the field of vaccine development for Shigella, enterotoxigenic Escherichia coli (ETEC) as well as other enteric pathogens would benefit greatly from a focused review of clinical endpoints and the use of common endpoints across the field to enable study-to-study comparisons as well as comparative assessments between vaccine candidates. A workshop was conducted to review clinical endpoints from controlled human challenge studies, field studies in naïve adult travelers and pediatric studies in low-middle income countries and to develop a consensus on clinical endpoints for future vaccine trials. Following sequential presentations on different study designs (CHIM, travelers' efficacy and pediatric efficacy), workshop participants broke into three simultaneous workgroups focused on those study designs to discuss a number of topics key to clinical endpoints specific to each study design. Previously utilized endpoints were reviewed with an eye towards potentially novel endpoints for future studies and consideration of the disease parameters and spectrum of disease targeted for prevention. The strength of support among workshop participants for the use of various endpoints is summarized as are recommendations for additional endpoints to be considered in future studies. It is anticipated that this report will facilitate endpoint determination in future efficacy trials of vaccine candidates.","CHIM; Controlled human infection model; Diarrheal diseases; ETEC; Efficacy; Endpoints; Enterotoxigenic E. coli; Shigella; Travelers' diarrhea; Vaccine","10.1016/j.vaccine.2019.03.051"
"Heather Ingold; Ombeni Mwerinde; Anna Laura Ross; Ross Leach; Elizabeth L Corbett; Karin Hatzold; Cheryl C Johnson; Getrude Ncube; Rose Nyirenda; Rachel C Baggaley","The Self-Testing AfRica (STAR) Initiative: accelerating global access and scale-up of HIV self-testing.","Journal of the International AIDS Society",2020,"HIV self-testing (HIVST) was first proposed as an additional option to standard HIV testing services in the 1980s. By 2015, two years after the first HIVST kit was approved for the American market and the year in which Unitaid invested in the ""HIV Self-Testing AfRica (STAR) Initiative,"" HIVST remained unexplored with negligible access in low- and middle-income countries (LMIC). However, rapid progress had been made. This commentary outlines the interlinked market, regulatory and policy barriers that had inhibited product development and kept HIVST out of LMIC policy. We detail the components of STAR that enabled rapid HIVST scale-up, including critical investments in implementation, research, market forecasting, and engagement with manufacturers and regulators. The STAR Initiative has generated crucial information about how to distribute HIVST products effectively, ethically and efficiently. Service delivery models range from clinic-based distribution to workplace and partner-delivered approaches to reach first-time male testers, to community outreach to sex workers and general population ""hotspots."" These data directly informed supportive policy, notably the 2016 WHO guidelines strongly recommending HIVST as an additional testing approach, and regulatory change through support for WHO prequalification of the first HIVST kit in 2017. In July 2015, only two countries had national HIVST policies and were implementing HIVST. Three years later, 59 countries have policies, actively implemented in 28, with an additional 53 countries reporting policies under development. By end-November 2018 several quality-assured HIVST products had been registered, including two WHO prequalified tests. STAR Initiative countries have drafted regulations governing in vitro diagnostics, including HIVST products. With enabling policies, pre-qualification and regulations in place, donor procurement of kits has increased rapidly, to a forecasted estimate of 16 million HIVST kits procured by 2020. The STAR Initiative provided a strong foundation to introduce HIVST in LMICs and allow for rapid scale-up based on the wealth of multi-country evidence gathered. Together with sustained coordination and acceleration of market development work, HIVST can help address the testing gap and provide a focused and cost-effective means to expand access to treatment and prevention services.","HIV self-testing; HIV testing; cost effectiveness; linkage to care; market shaping; prevention; scale-up","10.1002/jia2.25249"
"Emmanuel Kingsford Owusu; Albert P C Chan; Ming Shan; Erika Pärn","An Empirical Study on Construction Process Corruption Susceptibility: A Vignette of International Expertise.","Science and engineering ethics",2021,"Construction process stages are argued to be vulnerable to the prevalence of corrupt practices. However, the validity of this argument has not been empirically explored in the extant literature of construction management. Therefore, this study examines the stages of the construction process susceptibility to corruption and its most prominent forms of corrupt activities (within the respective stages). A total of forty-four project-related professionals were involved in an expert survey to assess such susceptibilities and the criticality of the identified corrupt activities at each stage. A comparative study of expert views from developing regions against experts from developed regions is conducted. Expert scoring results revealed that three stages are most susceptible, namely: project execution, pre-qualification and tender stages. Such results were confirmed by application of the Mann-Whitney U test statistics tool, showing wide disparities in seven out of eleven identical stages. This study is intended to incite polemic discussions and greater empirical, evidence-based research from scholars in both developed and developing countries. This study adds to the extant literature corruption-related works on the construction process through deeper understanding of the dynamic nature of corrupt practices involved in the stages of the construction process in developing countries. Practically, it intends to offer a veritable plethora of information on the critical stages of the construction process for industry practitioners, policymakers and anti-corruption bodies to careen their attention towards the fight against corruption.","Construction management; Corruption; International survey; Susceptibility","10.1007/s11948-019-00083-6"
"Kathleen M Neuzil; Andrew J Pollard; Anthony A Marfin","Introduction of Typhoid Conjugate Vaccines in Africa and Asia.","Clinical infectious diseases : an official publication of the Infectious Diseases Society of America",2020,"Typhoid fever continues to be a major public health concern, particularly in many low- and middle-income countries. The current threats of increasing antimicrobial resistance, urbanization, and climate change elevate the urgency for better prevention and control efforts for typhoid fever. In 2017, the results of ground-breaking research on typhoid conjugate vaccines (TCVs), the World Health Organization prequalification of a TCV, and global policy and financing decisions have set the stage for the introduction of TCVs into routine immunization programs in endemic countries. Country-level decision-making and program planning are critical for local uptake and sustainability.","Africa; Asia; TyVAC; typhoid; vaccine","10.1093/cid/ciy878"
"Annelies Van Den Heuvel; Hilde Smet; Irena Prat; Anita Sands; Willy Urassa; Katrien Fransen; Tania Crucitti","Laboratory evaluation of four HIV/syphilis rapid diagnostic tests.","BMC infectious diseases",2019,"Sexually transmitted infections, such as HIV and syphilis, are one of the major health care problems worldwide, especially in low- and middle income countries. HIV screening programmes have been widely used for many years. The introduction of rapid point-of-care tests (RDTs) that can detect both HIV and syphilis, using one single blood specimen, would be a promising tool to integrate the detection of syphilis into HIV programmes and so improve the accessibility of syphilis testing and treatment. As part of the World Health Organization pre-qualification of in vitro diagnostics assessment, the laboratory performance of four dual HIV-Syphilis rapid diagnostic tests (SD Bioline HIV/Syphilis Duo, DPP HIV-Syphilis Assay, Multiplo Rapid TP/HIV Antibody Test and Insti Multiplex HIV-1/HIV-2/Syphilis Antibody Test) was assessed using a well characterized multiregional panel of stored sera specimens. In total 400 specimens were tested with each assay, resulting in excellent sensitivities and specificities for HIV, ranging from 99.5 to 100% and from 93.5 to 99.5%, respectively. Results obtained for the Treponema pallidum antibodies were lower, with the lowest sensitivity of 73.5% for Multiplo and the highest of 87% for SD Bioline. Specificities ranged from 99.0 to 100%. Although these results suggest that the tests could further improve in accuracy in detection of treponemal antibodies, their introduction into screening programmes to increase the accessibility of HIV/Syphilis diagnosis and treatment for difficult to reach populations in the world is promising.","","10.1186/s12879-018-3567-x"
"Alfredo Garcia Arieta; Craig Simon; Gustavo Mendes Lima Santos; Iván Omar Calderón Lojero; Zulema Rodríguez Martínez; Clare Rodrigues; Sang Aeh Park; Ji Myoung Kim; Ryosuke Kuribayashi; Yusuke Okada; Arno Nolting; Chantal Pfäffli; Wen-Yi Hung; Christopher Crane; April C Braddy; Joy Van Oudtshoorn; Diego Gutierrez Triana; Mitch Clarke","A Survey of the Regulatory Requirements for the Acceptance of Foreign Comparator Products by Participating Regulators and Organizations of the International Generic Drug Regulators Programme.","Journal of pharmacy & pharmaceutical sciences : a publication of the Canadian Society for Pharmaceutical Sciences, Societe canadienne des sciences pharmaceutiques",2020,"The acceptance of foreign comparator products is the most limiting factor for the development and regulatory assessment of generic medicines marketed globally. Bioequivalence studies have to be repeated with the local comparator products of each jurisdiction because it is unknown if the comparators of the different countries are the same product, with the consequent duplication of efforts by regulators and industry alike. The regulatory requirements on the acceptability of foreign comparator products of oral dosage forms differ between countries participating in the Bioequivalence Working Group for Generics of the International Pharmaceutical Regulators Programme. Brazil, Colombia, the European Union member States, Japan, Mexico, South Korea and the United States only accept bioequivalence studies with their local comparator. In contrast, Australia, Canada, New Zealand, Singapore, South Africa, Switzerland and Taiwan accept studies with foreign comparators under certain conditions. Canada limits its use to highly soluble drugs with a wide therapeutic range in immediate release products. Australia requires a comparison of the quantitative composition. In contrast, there are fewer restrictions on the acceptance of foreign comparators in New Zealand, Singapore, South Africa, Switzerland and Taiwan. For the WHO Prequalification of Medicines and for developing generics of the essential medicines the WHO lists comparators from different countries. In conclusion, there is currently no consensus amongst regulators on the acceptability of foreign comparator products.","","10.18433/jpps30215"
"Malcolm MacLachlan; Joanne McVeigh; Michael Cooke; Delia Ferri; Catherine Holloway; Victoria Austin; Dena Javadi","Intersections Between Systems Thinking and Market Shaping for Assistive Technology: The SMART (Systems-Market for Assistive and Related Technologies) Thinking Matrix.","International journal of environmental research and public health",2019,"The Sustainable Development Goals (SDGs) aspire to ""leave no-one behind"". Universal access to assistive products is a critical link between the realization of the SDGs and those most likely to be left behind. However, assistive technology provision in many countries, particularly low- and middle-income countries, has traditionally been conducted through small-scale local providers, manufacturing products of varying degrees of quality at a limited price range. An effective way to scale these production and provision enterprises to the required level is needed to close the gap between available and required assistive technology. We argue that better access to assistive technology will only be realized through the adoption of a far stronger systems thinking and market shaping approach. We undertook a rapid literature review to explore the relationship between market shaping and assistive technology. Based on our review, we present an emergent framework for conceptualizing intersections between systems thinking and market shaping for assistive technology-the SMART (Systems-Market for Assistive and Related Technologies) Thinking Matrix.","assistive products; assistive technology; low- and middle-income countries; market shaping; resource poor settings; systems thinking","10.3390/ijerph15122627"
"Mikel Andoni Arriola Peñalosa; Ricardo Cavazos Cepeda; Mario Alanis Garza; Murray M Lumpkin","Optimized Medical Product Regulation in Mexico: A Win-Win for Public and Economic Health.","Therapeutic innovation & regulatory science",2020,"Medicines regulators, while performing a vital public health activity, are often perceived as both negative cost centers for governments and as impediments to innovation and economic development. The Mexican government recently undertook a regulatory optimization program focused on transforming the Mexican medicines regulatory pathway into one that is efficient, value-added, aligned with international norms, resource accountable, and one that protects and promotes public health, while also facilitating economic development. To facilitate the implementation of a new national access to medicines policy, the national government and the Mexican medicines regulatory agency instituted a multifaceted series of regulatory and legal reforms, which are described in this paper. These reforms encompassed multiple aspects of the regulatory oversight of medicines: administrative processes, clinical trials oversight, reliance on market authorization information and reports (ie, ""work products"") of other trusted regulators, and validation of activities by both Pan American Health Organization (PAHO) and WHO. These reforms have resulted in a marked positive impact on the availability of safe, effective, quality medicines at lower costs for Mexicans, both in the private and public sectors, while simultaneously facilitating expansion of the Mexican pharmaceutical industry. The regulatory optimization approach undertaken by Mexico could be a useful model for other countries that are trying to provide appropriate public health protection to their citizens, facilitate access to needed quality medicines, and encourage local economic development.","Mexico; medicines regulation; public health and economic impact of regulatory systems; reform of medical regulatory systems; regulatory reliance","10.1177/2168479017701503"
